month,Studytrimethoprim,Studycotrimoxazole,Studynitrofurantoin
2019-01-01,152426,14570,360236
2019-02-01,133176,13259,314762
2019-03-01,141992,14131,343045
2019-04-01,131158,14140,322109
2019-05-01,138745,14989,345123
2019-06-01,130105,14163,333050
2019-07-01,134785,14697,355237
2019-08-01,139567,15519,373254
2019-09-01,135085,14648,361110
2019-10-01,141477,15795,381483
2019-11-01,133617,15126,349324
2019-12-01,130672,15977,343585
2020-01-01,139774,16200,372978
2020-02-01,121966,14643,328300
2020-03-01,129198,17483,339500
2020-04-01,131862,17170,343711
2020-05-01,123259,15495,324619
2020-06-01,126495,15671,342845
2020-07-01,132476,16085,366211
2020-08-01,119375,14567,335502
2020-09-01,129778,16084,364427
2020-10-01,134233,16418,378044
2020-11-01,132504,15812,368316
2020-12-01,138010,17083,376763
2021-01-01,123831,16042,346154
2021-02-01,114967,14738,322929
2021-03-01,128313,16342,352184
2021-04-01,116054,15751,312946
2021-05-01,114249,15230,305005
2021-06-01,120108,16042,329354
2021-07-01,124122,16524,351294
2021-08-01,120790,16095,352080
2021-09-01,128363,16831,364227
2021-10-01,124994,16291,350834
2021-11-01,128944,16901,359383
2021-12-01,130228,18306,360740
2022-01-01,127250,17220,352750
2022-02-01,118724,15960,325808
2022-03-01,131356,17705,353517
2022-04-01,117008,16848,313933
