month,Studycotrimoxazole
2019-01-01,14570
2019-02-01,13259
2019-03-01,14131
2019-04-01,14140
2019-05-01,14989
2019-06-01,14163
2019-07-01,14697
2019-08-01,15519
2019-09-01,14648
2019-10-01,15795
2019-11-01,15126
2019-12-01,15977
2020-01-01,16200
2020-02-01,14643
2020-03-01,17483
2020-04-01,17170
2020-05-01,15495
2020-06-01,15671
2020-07-01,16085
2020-08-01,14567
2020-09-01,16084
2020-10-01,16418
2020-11-01,15812
2020-12-01,17083
2021-01-01,16042
2021-02-01,14738
2021-03-01,16342
2021-04-01,15751
2021-05-01,15230
2021-06-01,16042
2021-07-01,16524
2021-08-01,16095
2021-09-01,16831
2021-10-01,16291
2021-11-01,16901
2021-12-01,18306
2022-01-01,17220
2022-02-01,15960
2022-03-01,17705
2022-04-01,16848
